Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,8,MAXI Home Super,6.00,0.19209,6.00,,0.18009,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου & έκπτωση συνέπειας.,Αορίστου Διάρκειας,Μη εμπορικά διαθέσιμο προϊόν.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,8,Maxi Home Super Save,6.00,0.19209,6.00,,0.18009,,Αορίστου Διάρκειας,"Μη εμπορικά διαθέσιμο προϊόν, από 01.08.2024."
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,8,MAXI Home Super+,6.00,0.19209,6.00,,0.18009,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου & έκπτωση συνέπειας.,Αορίστου Διάρκειας,
SOLAR ENERGY,2024,11,Οικιακό S1+,4.50,0.18035,4.50,,0.18035,Συνέπεια,12,
SOLAR ENERGY,2024,8,Οικιακό S1+,4.50,0.20168,4.50,,0.18038,Συνέπεια,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2024,11,Power Home Special,5.00,0.19109,5.00,,0.18109,,Αορίστου Διάρκειας,"Μη εμπορικά διαθέσιμο προϊόν. Νυχτερινή Χρέσωση 181,09 €/MWh και 171.09 €/MWh μετά την εφαρμογή εκπτώσεων."
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,7,Ρεύµα MAXI Home 10,5.00,0.19174,5.00,,0.18174,Συνέπεια,Αορίστου Διάρκειας,
ΔΕΗ,2024,11,MyHome 4All (> 500 kWh/μήνα),5.00,0.18568,4.90,Πάγια εντολή,0.18197,2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 113.52€/MWh
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,8,MAXI Home,5.00,0.17609,5.00,,0.18209,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου & έκπτωση συνέπειας.,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,8,Ρεύµα MAXI Home 10,5.00,0.17209,5.00,,0.18209,Συνέπεια,Αορίστου Διάρκειας,
EUNICE,2024,7,Ειδικό,5.00,0.1823,5.00,,0.1823,,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2024,7,Power On! Home Easy,5.00,0.18241,5.00,,0.18241,,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2025,1,Ειδικό,5.00,0.18308,5.00,,0.18308,,12,
NRG,2024,12,Ειδικό,5.00,0.216,3.50,ebill & πάγια εντολή,0.184,συνέπεια,Αορίστου Διάρκειας,
NRG,2024,7,nrg @ cost+,7.10,0.18409,5.00,"e-bill, πάγια εντολή",0.18409,,Αορίστου Διάρκειας,Κλιμακωτή αύξηση παγίου μετά τις 250kWh κατανάλωσης. Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/04/2024.
EUNICE,2024,8,We Simple (KOT),3.00,0.18411,3.00,,0.18411,,Αορίστου Διάρκειας,
NRG,2024,11,nrg hybrid 1.0,5.00,0KWh - 150KWh   0.109 151KWh +   0.25965,5.00,,0KWh - 150KWh   0.109 151KWh +   0.25965,,Αορίστου Διάρκειας,MΗ εμπορικά διαθέσιμο από 2/10/2024Η τιμή είναι υψηλότερη για καταναλώσεις άνω των 150 kWh
ΖΕΝΙΘ,2024,9,Power Home Student ( >200 kWh κατανάλωση ),5.00,0.1846,5.00,,0.1846,,Αορίστου Διάρκειας,Τιμή προμήθειας για μηνιαία κατανάλωση >200 kWh
ΔΕΗ,2024,10,myHome4Student (>150 kWh/μήνα),3.00,0.185,3.00,,0.185,Έκπτωση 3% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,Αορίστου Διάρκειας,Φοιτητικό Πρόγραμμα. Δεύτερο κλιμάκιο χρέωσης με μηχανισμό διακύμανσης
ΕΛΙΝΟΙΛ,2024,11,Power On! Home Easy,5.00,0.18506,5.00,,0.18506,,Αορίστου Διάρκειας,
EUNICE,2024,7,We Home,2.00,0.1851,2.00,,0.1851,,Αορίστου Διάρκειας,
ELPEDISON,2024,10,Ειδικό (από την 101η kWh και πάνω μηνιαίως),4.00,0.18558,4.00,,0.18558,,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2024,8,My Pet My Home,4.50,0.18595,4.50,,0.18595,,Αορίστου Διάρκειας,
NRG,2024,9,prime 4U,2.50,0.18673,1.80,ebill και πάγια εντολή,0.18673,,Αορίστου Διάρκειας,Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/4/2024
SOLAR ENERGY,2024,7,Οικιακό S1+,4.50,0.20807,4.50,,0.18677,Συνέπεια,Αορίστου Διάρκειας,
NRG,2024,9,Ειδικό,5.00,0.21931,3.50,ebill & πάγια εντολή,0.18731,συνέπεια,Αορίστου Διάρκειας,
NRG,2024,8,Ειδικό,5.00,0.21931,3.50,ebill & πάγια εντολή,0.18731,συνέπεια,Αορίστου Διάρκειας,
EUNICE,2024,11,Eunice Βασικός Tιμοκατάλογος,2.00,0.18761,2.00,,0.18761,,Αορίστου Διάρκειας,
OTE ESTATE,2024,7,Ειδικό,5.00,0.198,5.00,,0.1881,,Αορίστου Διάρκειας,
ELPEDISON,2024,9,ELPEDISON Smart Zero,0.00,0.18833,0.00,,0.18833,,12,
EUNICE,2025,1,Ειδικό,5.00,0.18846,5.00,,0.18846,,Αορίστου Διάρκειας,
ELPEDISON,2024,7,Ειδικό (από την 101η kWh και πάνω μηνιαίως),4.00,0.18874,4.00,,0.18874,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,12,DOUBLE GENEROUS HOME,5.50,0.22056,5.50,,0.18888,Συνέπεια και παραμονή,12,
ΗΡΩΝ,2024,8,DOUBLE GENEROUS HOME,5.50,0.22059,5.50,,0.18891,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
NRG,2024,12,nrg fixed 4U 12 μήνες,9.90,0.189,9.90,,0.189,,12,
NRG,2024,10,nrg fixed 4U 12 μήνες,9.90,0.189,9.90,,0.189,,Αορίστου Διάρκειας,
NRG,2025,1,nrg fixed 4U 12 μήνες,9.90,0.189,9.90,,0.189,,12,
NRG,2025,1,nrg simple,5.00,0.27024,3.50,ebill & πάγια εντολή,0.189,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
VOLTON,2024,1,VOLTON BLUE SMART,0.00,0.189,0.00,,0.189,,12,Διατίθεται με διαφορετικές εμπορικές πολιτικές με βάση την κατανάλωση
VOLTON,2025,1,VOLTON BLUE SMART,0.00,0.189,0.00,,0.189,,12,Από 09/07 το προϊόν είναι μη εμπορικά διαθέσιμο. Διατίθετο με διαφορετικές εμπορικές πολιτικές με βάση την κατανάλωση.
VOLTON,2024,12,VOLTON BLUE SMART,0.00,0.189,0.00,,0.189,,12,Από 09/07 το προϊόν είναι μη εμπορικά διαθέσιμο. Διατίθετο με διαφορετικές εμπορικές πολιτικές με βάση την κατανάλωση.
VOLTON,2024,7,VOLTON BLUE SMART,0.00,0.189,0.00,,0.189,,12,Από 09/07 το προϊόν είναι μη εμπορικά διαθέσιμο. Διατίθετo με διαφορετικές εμπορικές πολιτικές με βάση την κατανάλωση.
ΕΛΙΝΟΙΛ,2024,12,Ειδικό,5.00,0.25944,5.00,,0.189,,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ειδικό,5.00,0.243,5.00,,0.189,Συνέπεια,Αορίστου Διάρκειας,
VOLTON,2024,8,VOLTON YELLOW SIMPLE,4.90,0.19519,4.90,,0.18919,Συνέπεια,12,Από 02/08 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,8,VOLTON YELLOW SIMPLE 50 €,4.90,0.19519,4.90,,0.18919,Συνέπεια,12,Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Στο πλαίσιο προωθητικής ενέργειας για τους πρώτους 5 μήνες πραγματοποιείται τμηματική πίστωση συνολικής αξίας 50€.
VOLTON,2024,8,VOLTON YELLOW SIMPLE PROTECT,4.90,0.19519,4.90,,0.18919,Συνέπεια,12,Από 05/06 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Απρίλιο/Μάιο/ Ιούνιο και Ιούλιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 83€/MWh.
ELPEDISON,2025,1,Ειδικό,5.00,0KWh - 100KWh   0.1585 101KWh +   0.22,5.00,,"0KWh - 100KWh
0.1585
101KWh +
0.22",Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,9,Yellow Free Student,0.00,0.19356,0.00,,0.18936,Παραμονή,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,9,Yellow Free HOME,0.00,0.19356,0.00,,0.18936,Παραμονή,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,7,MAXI Home Super,6.00,0.20174,6.00,,0.18974,Συνέπεια και Συνδυασμός με πρόγραμμα Φυσικού Αερίου,Αορίστου Διάρκειας,Μη εμπορικά διαθέσιμο προϊόν.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,7,MAXI Home Super+,6.00,0.20174,6.00,,0.18974,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου & έκπτωση συνέπειας.,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,7,MAXI Home,5.00,0.19174,5.00,,0.18974,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου & έκπτωση συνέπειας.,Αορίστου Διάρκειας,
EUNICE,2024,7,We Simple (KOT),3.00,0.1901,3.00,,0.1901,,Αορίστου Διάρκειας,
ΔΕΗ,2024,10,MyHome 4All (> 500 kWh/μήνα),5.00,0.19455,4.90,Πάγια εντολή,0.19066,2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 116.65€/MWh.
EUNICE,2024,9,Ειδικό,5.00,0.19102,5.00,,0.19102,,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2024,11,Power Home Choice,1.00,0.19109,1.00,,0.19109,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,12,GENEROUS GUARANTEE HOME,5.50,0.20356,5.50,,0.19126,Συνέπεια και παραμονή,12,"Ενεργοποιώντας τη μηνιαία Χρέωση Guarantee 8€, ο Πελάτης διασφαλίζει ότι η χρέωση ενέργειας δεν θα υπερβεί τα 0,1700 €/kWh σε όλη τη διάρκεια της σύμβασης."
ΗΡΩΝ,2024,8,GENEROUS GUARANTEE HOME,5.50,0.20359,5.50,,0.19129,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
NRG,2024,8,nrg on time 4U,5.00,0.20924,3.50,ebill και πάγια εντολή,0.19174,Συνέπεια,Αορίστου Διάρκειας,Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/4/2024
ΕΛΙΝΟΙΛ,2024,12,Power On! Home,0.00,0.19195,0.00,,0.19195,,12,
ΕΛΙΝΟΙΛ,2024,8,Power On! Home,0.00,0.19199,0.00,,0.19199,,Αορίστου Διάρκειας,
OTE ESTATE,2024,6,Ειδικό,5.00,0.2118,5.00,,0.192,,Αορίστου Διάρκειας,
EUNICE,2024,11,Eunice Simple (KOT),3.00,0.19261,3.00,,0.19261,,Αορίστου Διάρκειας,
ΔΕΗ,2024,9,MyHome 4All (> 500 kWh/μήνα),5.00,0.19695,4.90,Πάγια εντολή,0.19301,2% έκπτωση στη Βασική Τιμή Προμήθειας με Πάγια Πληρωμή,Αορίστου Διάρκειας,Χρέωση νυχτερινού 131.35€/MWh. 20% οριζόντια έκπτωση στη Βασική Τιμή Προμήθειας χωρίς προϋποθέσεις για το Σεπτέμβριο για τις συμβάσεις από 01/06.
SOLAR ENERGY,2024,8,Ειδικό,5.00,0.26759,5.00,,0.19439,Συνέπεια,Αορίστου Διάρκειας,
VOLTON,2024,9,Ειδικό,4.90,0.21572,4.90,,0.19479,Συνέπεια,12,Δώρο 50€ για νέες αιτήσεις
ΖΕΝΙΘ,2024,7,My Pet My Home,4.50,0.19533,4.50,,0.19533,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,7,DOUBLE GENEROUS HOME,5.50,0.22733,5.50,,0.19565,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,12,ECO GENEROUS HOME,6.50,0.22056,6.50,,0.19581,Συνέπεια και παραμονή,12,
ΗΡΩΝ,2024,8,ECO GENEROUS HOME,6.50,0.22059,6.50,,0.19584,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ELPEDISON,2024,12,ELPEDISON Win More,5.00,0.19603,5.00,,0.19603,,12,"Έως 30/09 Σταθερή Χρέωση Προμήθειας και Πάγιο στα 9,90. Από 01/10/2024 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5 €/μήνα."
ELPEDISON,2024,12,ELPEDISON Win,5.90,0.19603,5.90,,0.19603,,12,Από 12/07/2024 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2024,12,ELPEDISON SMART,5.00,0.19603,5.00,,0.19603,,12,
ELPEDISON,2024,8,ELPEDISON Win,5.90,0.19606,5.90,,0.19606,,12,Από 12/07 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2024,8,ELPEDISON SMART,5.00,0.19606,5.00,,0.19606,,12,
ΗΡΩΝ,2024,12,SOLAR GENEROUS HOME,5.50,0.21556,5.50,,0.19676,Συνέπεια και παραμονή,12,
ΗΡΩΝ,2024,8,SOLAR GENEROUS HOME,5.50,0.21559,5.50,,0.19679,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
SOLAR ENERGY,2024,11,Οικιακό S1Ν,0.00,0.197Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.18255,0.00,,0.197Τελική Τιμή Προμήθειας Νυχτερινής Κατανάλωσης 0.18255,Συνέπεια,12,
SOLAR ENERGY,2024,11,Οικιακό S1,0.00,0.197,0.00,,0.197,Συνέπεια,12,
ELPEDISON,2024,12,ELPEDISON Smart Up,4.00,0.19703,4.00,,0.19703,,12,Από 31/05/2024 το προϊόν είναι μη εμπορικά διαθέσιμο.
SOLAR ENERGY,2024,8,Οικιακό S1,0.00,0.20598,0.00,,0.19703,Συνέπεια,Αορίστου Διάρκειας,
SOLAR ENERGY,2024,8,Οικιακό S1Ν,0.00,0.20598,0.00,,0.19703,Συνέπεια,Αορίστου Διάρκειας,Χρέωση νυχτερινού 182.58 €/MWh
ELPEDISON,2024,8,ELPEDISON Smart Up,4.00,0.19706,4.00,,0.19706,,12,Από 31/05 το προϊόν είναι μη εμπορικά διαθέσιμο.
OTE ESTATE,2024,1,Ειδικό,5.00,0.198,5.00,,0.198,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,7,GENEROUS GUARANTEE HOME,5.50,0.21033,5.50,,0.19803,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ΕΛΙΝΟΙΛ,2024,7,Power On! Home,0.00,0.19831,0.00,,0.19831,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,11,DOUBLE GENEROUS HOME,5.50,0.23015,5.50,,0.19847,Συνέπεια και Παραμονή,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,9,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,4,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,Από 01.09.24 το προϊόν είναι μή εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Home Fixed,9.90,0.199,9.90,,0.199,,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,6,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,Από 10/04 το προϊόν είναι μη εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,1,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,8,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,Από 01.09.24 το προϊόν είναι μή εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,3,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,Από 01.09.24 το προϊόν είναι μή εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,5,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,Από 01.09.24 το προϊόν είναι μή εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,7,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,Από 01.09.24 το προϊόν είναι μή εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,2,Home Fixed,9.90,0.199,9.90,,0.199,,Αορίστου Διάρκειας,Από 01.09.24 το προϊόν είναι μή εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,12,Home Fixed,9.90,0.199,9.90,,0.199,,12,
VOLTON,2024,7,VOLTON YELLOW SIMPLE,4.90,0.2051,4.90,,0.1991,Συνέπεια,12,Διατίθεται με ειδική προσφορά (για τις νέες αιτήσεις για τον πρώτο μήνα - 30 ημέρες - κατανάλωσης παροχή δωρεάν παγίου και χρεώσεων προμήθειας για κατανάλωση έως 500 kWh).
VOLTON,2024,12,Ειδικό,4.90,0.25983,4.90,,0.1993,Συνέπεια,12,Δώρο 50€ για νέες αιτήσεις
ΖΕΝΙΘ,2025,1,Ειδικό,5.00,0.19944,5.00,,0.19944,,12,
ELPEDISON,2024,12,Ειδικό (από την 101η kWh και πάνω μηνιαίως),4.00,0.1995,4.00,,0.1995,,Αορίστου Διάρκειας,
ELPEDISON,2024,8,Ειδικό (από την 101η kWh και πάνω μηνιαίως),4.00,0.1995,4.00,,0.1995,,Αορίστου Διάρκειας,
ELPEDISON,2024,9,Ειδικό (από την 101η kWh και πάνω μηνιαίως),4.00,0.1995,4.00,,0.1995,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,12,PROTECT 4 HOME,5.50,0.19994,5.50,,0.19994,,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,11,Ρεύµα MAXI Home 10,5.00,0.21012,5.00,,0.20012,Συνέπεια,24,
ΗΡΩΝ,2024,12,SIMPLY GENEROUS HOME,5.50,0.21406,5.50,,0.20019,Παραμονή,12,
ΗΡΩΝ,2024,8,SIMPLY GENEROUS HOME,5.50,0.20484,5.50,,0.20021,Παραμονή,Αορίστου Διάρκειας,
NRG,2024,11,nrg @ cost+,7.10,0.20064,5.00,ebill και πάγια εντολή,0.20064,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,11,GENEROUS GUARANTEE HOME,5.50,0.21315,5.50,,0.20085,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,Μή εμπορικά διαθέσιμο προϊόν.
ΕΛΙΝΟΙΛ,2024,11,Power On! Home,0.00,0.20096,0.00,,0.20096,,Αορίστου Διάρκειας,
NRG,2024,8,prime 4U,2.50,0.20124,1.80,ebill και πάγια εντολή,0.20124,,Αορίστου Διάρκειας,Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/4/2024
NRG,2024,7,nrg on time 4U,5.00,0.21909,3.50,"e-bill, πάγια εντολή",0.20159,Συνέπεια,Αορίστου Διάρκειας,Το πρόγραμμα διατέθηκε με διαφορετική τιμολόγηση πριν τις 22/4/2024
ΗΡΩΝ,2024,7,ECO GENEROUS HOME,6.50,0.22733,6.50,,0.20258,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ELPEDISON,2024,7,ELPEDISON SMART,5.00,0.20274,5.00,,0.20274,,12,
VOLTON,2024,12,VOLTON YELLOW PROTECT Sept \'24,4.90,0.20885,4.90,,0.20285,Συνέπεια,12,Από 02/10 το προϊόν είναι μη εμπορικά διαθέσιμο. Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Για τους μήνες Σεπτέμβριο. Οκτώβριο και Νοέμβριο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 93€/MWh.
VOLTON,2024,12,VOLTON YELLOW SIMPLE,4.90,0.20885,4.90,,0.20285,Συνέπεια,12,Από 02/08 το προϊόν είναι μη εμπορικά διαθέσιμο.
VOLTON,2024,12,VOLTON YELLOW SIMPLE PROTECT August - October,4.90,0.20885,4.90,,0.20285,Συνέπεια,12,"Από 02/09 το προϊόν είναι μη εμπορικά διαθέσιμο. Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Για τους μήνες Αύγουστο, Σεπτέμβριο και Οκτώβριο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 93€/MWh."
VOLTON,2024,12,VOLTON YELLOW SIMPLE PROTECT July -September,4.90,0.20885,4.90,,0.20285,Συνέπεια,12,Από 02/08 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Ιούλιο/Αύγουστο και Σεπτέμβριο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 93€/MWh.
VOLTON,2024,12,VOLTON YELLOW SIMPLE 50 €,4.90,0.20885,4.90,,0.20285,Συνέπεια,12,Η τιμή του εκάστοτε μήνα ανακοινώνεται με την έκδοση της ΜΤΑ. Στο πλαίσιο προωθητικής ενέργειας για τους πρώτους 5 μήνες πραγματοποιείται τμηματική πίστωση συνολικής αξίας 50€.
VOLTON,2024,12,VOLTON YELLOW SIMPLE PROTECT,4.90,0.20885,4.90,,0.20285,Συνέπεια,12,Από 05/06 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Απρίλιο/Μάιο/ Ιούνιο και Ιούλιο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 83€/MWh.
VOLTON,2024,12,VOLTON YELLOW SIMPLE PROTECT June - August,4.90,0.20885,4.90,,0.20285,Συνέπεια,12,Από 02/07 το προϊόν είναι μη εμπορικά διαθέσιμο. Για τους μήνες Ιούνιο/Ιούλιο και Αύγουστο το ανώτατο όριο της Τελικής Τιμής Προμήθειας ανερχόταν στα 83€/MWh.
SOLAR ENERGY,2024,7,Οικιακό S1Ν,0.00,0.21237,0.00,,0.20342,Συνέπεια,Αορίστου Διάρκειας,"Χρέωση νυχτερινού 188,97 €/MWh"
SOLAR ENERGY,2024,7,Οικιακό S1,0.00,0.21237,0.00,,0.20342,Συνέπεια,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,7,SOLAR GENEROUS HOME,5.50,0.22233,5.50,,0.20353,Συνέπεια και Παραμονή,Αορίστου Διάρκειας,
ELPEDISON,2024,7,ELPEDISON Smart Up,4.00,0.20374,4.00,,0.20374,,12,Από 31/05 το προϊόν είναι μη εμπορικά διαθέσιμο.
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,11,MAXI Home,5.00,0.21012,5.00,,0.20412,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου & έκπτωση συνέπειας.,24,
ΖΕΝΙΘ,2024,8,Power Home Student ( >200 kWh κατανάλωση ),5.00,0.20445,5.00,,0.20445,,Αορίστου Διάρκειας,Τιμή προμήθειας για μηνιαία κατανάλωση >200 kWh
ΗΡΩΝ,2025,1,YELLOW BENEFIT HOME,5.50,0.20461,5.50,,0.20461,,12,
ΔΕΗ,2024,9,myHome4Student (>150 kWh/μήνα),3.00,0.20513,2.90,Πάγια εντολή,0.20513,Έκπτωση 3% επί της τελικής τιμής προμήθειας με πληρωμή μέσω πάγιας εντολής.,Αορίστου Διάρκειας,Φοιτητικό Πρόγραμμα. Δεύτερο κλιμάκιο χρέωσης με μηχανισμό διακύμανσης
ΖΕΝΙΘ,2024,7,Ειδικό,5.00,0.20525,5.00,,0.20525,,Αορίστου Διάρκειας,
ΗΡΩΝ,2024,11,ECO GENEROUS HOME,6.50,0.23015,6.50,,0.2054,Συνέπεια και Παραμονή,12,
ELPEDISON,2024,11,ELPEDISON Win,5.90,0.20554,5.90,,0.20554,,12,Από 12/07 το προϊόν είναι μη εμπορικά διαθέσιμο.
